ID|BGID|Chr|Time|Dialog|NextID|Choice1|Choice2|연출
0|0|상대방|95280397223|1000001 1110111 1100001 1101011 1100101|-1|||ID 0~8까지 검은 배경에 글자만 출력되며 로그도 안나옴
1|0|상대방|95280397223|(시스템이 기동됩니다.)|-1|||
2|0|주인공|95280397224|뭐야, 누가 말하거지?|-1|||
3|0|주인공|95280397225|그보다 여긴 어디지?|-1|||
4|0|주인공|95280397226|아무 것도 안보여…|-1|||
5|0|주인공|95280397227|저기요, 방금 말씀하신 분은 누구요?|-1|||
6|0|주인공|95280397228|이런, 목소리도 안나오는군.|-1|||
7|0|주인공|95280397291|...아무도 말이 없구만.|-1|||
8|0|주인공|95280397292|도대체 나한테 방금 말을 건넨 사람은 누구지?|-1|||
9|0|상대방|95280397300|1010011 1110100 1100001 1110010 1110100|-1|||UI 정상 출력
10|0|상대방|95280397300|(시스템을 시작합니다.)|-1|||
11|1|주인공|95280397301|또 누군가 말을 걸었는데…|-1|||
12||주인공|95280397302|[놀람]|-1|||
13||주인공|95280397302|어떻게 된거야? …이게 뭐지?|-1|||
14||주인공|95280397303|이건 내가 방금 한 생각들이잖아?|-1|||
15||주인공|95280397303|귀신이 곡할 노릇이군…|-1|||
16||주인공|95280397303|이 0과 1들은 뭐지?|-1|||
17||주인공|95280397304|시...스…템 시작? 방금 내가 들은 말이잖아?|-1|||
18||주인공|95280397304|…가만, 난 어떻게 이걸 이해한거야?|-1|||
19||상대방|95280397304|1001101 1001111 1000100 1000101 1001100 111010 100000 1001110 1000001 1010110 1001001 110111 110100 110111 110110 110101 110001 1000011 111001 100000 1001111 1110000 1100101 1110010 1100001 1110100 1101001 1101111 1101110 100000 1010110 1100101 1110010 1101001 1100110 1101001 1100011 1100001 1110100 1101001 1101111 1101110|-1|||
20||상대방|95280397304|(MODEL: NAVI747651C9의 작동을 확인했습니다.)|-1|||
21||1||||||
22||2||||||
23||||||||
24||||||||
25||||||||
26||||우왓! 깜짝이야!||||
27||||누, 누구시오?||||
28||||||||
29||||안녕, NAVI쨩!||||
30||||NAVI쨩, 아무리 3093154166||||
31||||다른 사람들은 무사하려나.||||
32||||||||
33||||||||
34||||||||
35||||||||
36||||||||
37||||||||
38||||||||
39||||||||
40||||||||
41||||||||
42||||||||
43||||||||
44||||||||
45||||||||
46||||||||
47||||||||
48||||||||
49||||||||
50||||||||
51||||||||
52||||||||
53||||||||
54||||||||
55||||||||
56||||||||
57||||||||
58||||||||
59||||||||
60||||||||
61||||||||
62||||||||
63||||||||
64||||||||
65||||||||
66||||||||
67||||||||
68||||||||
69||||||||
70||||||||
71||||||||
72||||||||
73||||||||
74||||||||
75||||||||
76||||||||
77||||||||
78||||||||
79||||||||
80||||||||
81||||||||
82||||||||
83||||||||
84||||||||
85||||||||
86||||||||
87||||||||
88||||||||
89||||||||
90||||||||
91||||||||
92||||||||
93||||||||
94||||||||
95||||||||
96||||||||
97||||||||
98||||||||
99||||||||
